Table S1: DESeq2 differential gene expression analysis of Staphylococcus aureus USA300 wild type after AGXX® treatment ,,,,,,,,,,,,,
USA300-numbers,COL-numbers,Gene symbol,Operon,Regulon,Function,Base mean,A-value,M-value,Fold change,Standard error,Wald statistic,P-value,Adjusted P-value
USA300HOU_2501,SACOL2523,yvmA,yvmA SACOL2524,-,MFS family major facilitator transporter,343.34,8.42,0.94,1.92,0.20,4.80,1.57015E-06,2.95E-06
USA300HOU_2679,SACOL2702,hisD,hisI hisF hisA hisH hisB hisC hisD hisG hisZ,HisR,histidinol dehydrogenase,456.89,8.84,0.93,1.91,0.20,4.57,4.98061E-06,9.15E-06
USA300HOU_1556,SACOL1611,zur,znuCB zur,Zur,Zn-uptake transcriptional regulator ,1227.27,10.26,0.93,1.90,0.15,6.18,6.57009E-10,1.48E-09
USA300HOU_1830,SACOL1894,hit,hit,AgrA,HIT family protein,2305.37,11.17,0.93,1.90,0.17,5.32,1.03131E-07,2.08E-07
USA300HOU_1852,SACOL1915,artQ,artQM,ArgR,"glutamate ABC transporter,  ATP-binding protein",1428.25,10.48,0.93,1.90,0.20,4.71,2.50281E-06,4.68E-06
USA300HOU_1046,-,USA300HOU_1046,-,-,hypothetical protein,55.27,5.79,0.92,1.90,0.35,2.65,0.008113809,1.15E-02
USA300HOU_0021,SACOL0022,walI,walRKHI,GraRS,hypothetical protein YycI,5995.10,12.55,0.92,1.89,0.14,6.54,6.31071E-11,1.50E-10
USA300HOU_1880,SACOL1942,vraR,vraRSTU,VraSR,response regulator VraR,2972.39,11.54,0.92,1.89,0.14,6.61,3.73309E-11,8.96E-11
USA300HOU_2587,SACOL2609,phnB,phnB,MgrA,3-demethylubiquinone-9 3-methyltransferase,2831.79,11.47,0.92,1.89,0.23,3.97,7.29089E-05,1.23E-04
USA300HOU_1396,SACOL1498,bshA,dinG birA papS bshA,BSH,glycosyltransferase,2181.69,11.09,0.92,1.89,0.14,6.57,4.9874E-11,1.19E-10
USA300HOU_1938,SACOL1998,USA300HOU_1938,SACOL1998,-,hypothetical protein,371.21,8.54,0.91,1.88,0.22,4.17,3.09235E-05,5.35E-05
USA300HOU_2546,SACOL2566,mmpL,mmpL,GraRS,MmpL efflux pump,493.88,8.95,0.91,1.88,0.18,5.19,2.09195E-07,4.14E-07
USA300HOU_1430,-,lukF-PV,-,-,Panton-Valentine leukocidin subunit F,337.20,8.40,0.91,1.87,0.21,4.39,1.15319E-05,2.05E-05
USA300HOU_1815,SACOL1878,epiA,epiGEFPDCBA,SigB,lantibiotic epidermin EpiA,64.86,6.02,0.90,1.87,0.33,2.75,0.006036507,8.71E-03
USA300HOU_1692,SACOL1753,uspA2,uspA2,-,universal stress protein,5703.53,12.48,0.90,1.87,0.15,5.86,4.57778E-09,9.85E-09
USA300HOU_0696,SACOL0733,USA300HOU_0696,SACOL0733 SACOL0734,-,sugar efflux transporter,3359.68,11.71,0.90,1.87,0.14,6.42,1.40191E-10,3.27E-10
USA300HOU_1459,-,USA300HOU_1459,-,-,hypothetical bacteriophage protein,171.24,7.42,0.90,1.87,0.23,3.85,0.000118909,1.97E-04
USA300HOU_1293,SACOL1395,yrrI,glcT SACOL1394 yrrI,-,putative transporter,6704.04,12.71,0.90,1.86,0.13,6.97,3.17944E-12,8.04E-12
USA300HOU_2618,SACOL2639,cysJ,cysJ-cysG,CymR,sulfite reductase (NADPH) alpha subunit,908.07,9.83,0.89,1.86,0.16,5.65,1.62105E-08,3.39E-08
USA300HOU_0591,SACOL0643,USA300HOU_0591,SACOL0643 SACOL0644,-,hypothetical protein,361.31,8.50,0.89,1.86,0.23,3.85,0.000115825,1.92E-04
USA300HOU_2649,SACOL2671,secA2,gtfAB secA2 asp3 asp2 asp1 ,SigB,Sec family Type I general secretory pathway protein SecA2,2330.92,11.19,0.89,1.85,0.16,5.64,1.66384E-08,3.48E-08
USA300HOU_2281,-,USA300HOU_2281,-,-,hypothetical protein,3102.31,11.60,0.89,1.85,0.17,5.30,1.17623E-07,2.36E-07
USA300HOU_0562,SACOL0615,USA300HOU_0562,SACOL0613 bshB folE2,-,hypothetical protein,2386.34,11.22,0.89,1.85,0.14,6.38,1.82921E-10,4.24E-10
USA300HOU_0697,SACOL0734,USA300HOU_0697,SACOL0733 SACOL0734,-,hypothetical protein,1396.60,10.45,0.89,1.85,0.15,5.92,3.12931E-09,6.80E-09
USA300HOU_0372,SACOL0422,USA300HOU_0372,SACOL0420 SACOL0421 SACOL0422 SACOL0424,-,ABC transporter ATP-binding protein,893.04,9.80,0.88,1.85,0.20,4.41,1.02815E-05,1.84E-05
USA300HOU_2340,SACOL2354,USA300HOU_2340,SACOL2354,-,hypothetical protein,410.36,8.68,0.88,1.84,0.17,5.13,2.87156E-07,5.64E-07
USA300HOU_1953,-,USA300HOU_1953,-,-,hypothetical protein,2944.63,11.52,0.88,1.84,0.20,4.48,7.4866E-06,1.35E-05
USA300HOU_1627,-,USA300HOU_1627,-,-,hypothetical protein,429.26,8.75,0.88,1.84,0.17,5.02,5.04297E-07,9.77E-07
USA300HOU_1914,SACOL1974,nadE,nadE pncB,-,NAD synthetase,1496.72,10.55,0.87,1.83,0.19,4.60,4.28066E-06,7.90E-06
USA300HOU_1689,SACOL1750,dnaE,dnaE SACOL1751,-,DNA polymerase III subunit alpha,10751.97,13.39,0.87,1.83,0.14,6.24,4.35044E-10,9.95E-10
USA300HOU_1998,-,USA300HOU_1998,-,-,hypothetical protein,3400.75,11.73,0.87,1.82,0.22,3.92,8.77399E-05,1.47E-04
USA300HOU_0548,SACOL0601,USA300HOU_0548,ilvE SACOL0601,CodY,hypothetical protein,610.99,9.25,0.86,1.82,0.18,4.93,8.27322E-07,1.58E-06
USA300HOU_0350,SACOL0400,ulaA,ulaA SACOL0401 SACOL0402 SACOL0403,ArlR,PTS system ascorbate-specific transporter subunit IIC,197.46,7.63,0.86,1.81,0.23,3.80,0.000145481,2.39E-04
USA300HOU_1309,SACOL1410,femA,femAB,GraRS,methicillin resistance factor FemA,7355.69,12.84,0.86,1.81,0.18,4.85,1.24015E-06,2.34E-06
USA300HOU_1838,SACOL1902,USA300HOU_1838,SACOL1902 SACOL1903,GraRS,hypothetical protein,10634.89,13.38,0.86,1.81,0.13,6.63,3.41742E-11,8.24E-11
USA300HOU_1793,SACOL1853,USA300HOU_1793,SACOL1853,-,hypothetical protein,54.49,5.77,0.86,1.81,0.35,2.42,0.015496701,2.15E-02
USA300HOU_1512,SACOL1554,gnd,gnd,-,6-phosphogluconate dehydrogenase,24306.36,14.57,0.85,1.81,0.13,6.59,4.54686E-11,1.09E-10
USA300HOU_2540,SACOL2561,mvaS,mvaS,MgrA,hydroxymethylglutaryl-CoA synthase,9728.36,13.25,0.85,1.80,0.14,6.13,8.61777E-10,1.94E-09
USA300HOU_2485,SACOL2504,USA300HOU_2485,SACOL2504,-,permease,329.57,8.36,0.85,1.80,0.18,4.63,3.63217E-06,6.73E-06
USA300HOU_0629,SACOL1577,USA300HOU_0629,SACOL1575 SACOL1576 SACOL1577 SACOL1578,-,hypothetical protein,362.40,8.50,0.84,1.79,0.19,4.47,7.70193E-06,1.39E-05
USA300HOU_2635,SACOL2657,arcA,arcCDBA,ArcR,arginine deiminase,204.39,7.68,0.84,1.79,0.25,3.35,0.000794078,1.24E-03
USA300HOU_1382,-,USA300HOU_1382,-,-,hypothetical protein,90721.09,16.47,0.84,1.79,0.19,4.51,6.62698E-06,1.21E-05
USA300HOU_1881,SACOL1943,vraS,vraRSTU,VraSR,sensor histidine kinase VraS,2842.37,11.47,0.83,1.78,0.14,5.75,8.9319E-09,1.90E-08
USA300HOU_0177,SACOL0150,cap5O,cap5ABCDEFGHIJKLMNOP,SigB,capsular polysaccharide biosynthesis protein Cap5O,373.54,8.55,0.83,1.78,0.18,4.58,4.68578E-06,8.64E-06
USA300HOU_2603,SACOL2625,USA300HOU_2603,SACOL2625,SigB,hypothetical protein,465.02,8.86,0.83,1.78,0.21,3.98,6.96515E-05,1.18E-04
USA300HOU_2441,SACOL2459,pnbA,pnbA,SigB,carboxylesterase,1710.82,10.74,0.83,1.78,0.19,4.47,7.951E-06,1.43E-05
USA300HOU_2627,SACOL2649,USA300HOU_2627,SACOL2649,-,hypothetical protein,3897.54,11.93,0.83,1.78,0.17,4.91,9.29513E-07,1.77E-06
USA300HOU_2648,SACOL2670,gtfA,gtfAB secA2 asp3 asp2 asp1 ,SigB,"glycosyl transferase, group 1 family protein",2520.57,11.30,0.83,1.77,0.16,5.33,1.00523E-07,2.03E-07
USA300HOU_0171,SACOL0144,cap5I,cap5ABCDEFGHIJKLMNOP,SigB,capsular polysaccharide biosynthesis protein Cap5I,72.48,6.18,0.82,1.77,0.31,2.63,0.008424911,1.19E-02
USA300HOU_1565,SACOL1620,yqfL,dnaG yqfL SACOL1621,-,"Putative pyruvate, phosphate dikinase regulatory protein",1983.30,10.95,0.82,1.76,0.16,5.20,1.96735E-07,3.91E-07
USA300HOU_0461,SACOL0498,USA300HOU_0461,SACOL0498 SACOL0499,-,hypothetical protein,2117.86,11.05,0.81,1.76,0.16,5.24,1.58045E-07,3.16E-07
USA300HOU_1397,SACOL1499,mazG,mazG,-,nucleoside triphosphate pyrophosphohydrolase,557.86,9.12,0.81,1.76,0.16,5.13,2.84049E-07,5.58E-07
USA300HOU_0626,-,USA300HOU_0626,-,-,putative lipoprotein,1515.38,10.57,0.81,1.76,0.16,4.93,8.32631E-07,1.59E-06
USA300HOU_0175,SACOL0148,cap5M,cap5ABCDEFGHIJKLMNOP,SigB,capsular polysaccharide biosynthesis protein Cap5M,135.71,7.08,0.81,1.76,0.25,3.21,0.001309674,2.00E-03
USA300HOU_0401,SACOL0449,USA300HOU_0401,SACOL0449,-,hypothetical protein,1921.71,10.91,0.81,1.76,0.15,5.41,6.47512E-08,1.32E-07
USA300HOU_1875,SACOL1938,yfkK,SACOL1936 pepS yfkK,-,hypothetical protein,502.27,8.97,0.81,1.75,0.18,4.44,8.92831E-06,1.60E-05
USA300HOU_0520,SACOL0573,pilT,radA pilT,GraRS,Integral membrane protein (PIN domain superfamily),2494.48,11.28,0.81,1.75,0.16,5.01,5.45714E-07,1.05E-06
USA300HOU_1184,SACOL1270,hslV,xerC hslV hslU codY,GraRS,T01 family HslV component of HsIUV peptidase,3296.16,11.69,0.81,1.75,0.13,6.01,1.89114E-09,4.18E-09
USA300HOU_0366,SACOL0416,efeU,efeOBU,Fur,OFeT family oxidase-dependent iron (Fe2+) transporter,239.05,7.90,0.80,1.74,0.22,3.61,0.000310459,4.96E-04
USA300HOU_0252,SACOL0224,glcC,SACOL0223 glcC,MgrA,"PTS system, IIBC components",206.29,7.69,0.80,1.74,0.21,3.75,0.000178283,2.91E-04
USA300HOU_2268,SACOL2279,yut,yut,MgrA,membrane-bound urea transporter,94.82,6.57,0.80,1.74,0.32,2.48,0.013085526,1.83E-02
USA300HOU_0543,SACOL0596,kbl,kbl,CcpA,2-amino-3-ketobutyrate coenzyme A ligase,5142.28,12.33,0.79,1.73,0.16,5.04,4.61265E-07,8.96E-07
USA300HOU_1942,SACOL2002,map,map,SaeRS,cell surface protein MapW2,1057.66,10.05,0.79,1.73,0.17,4.65,3.26619E-06,6.06E-06
USA300HOU_2647,SACOL2669,gtfB,gtfAB secA2 asp3 asp2 asp1 ,SigB,hypothetical protein,2309.11,11.17,0.79,1.73,0.14,5.52,3.47439E-08,7.14E-08
USA300HOU_2435,SACOL2451,opuCC,opuCD opuCC opuCB opuCA,GraRS,"glycine betaine/L-proline ABC transporter, binding protein",355.71,8.47,0.78,1.72,0.19,4.07,4.71671E-05,8.08E-05
USA300HOU_0189,SACOL0161,USA300HOU_0189,SACOL0161,AgrA,hypothetical protein,833.77,9.70,0.78,1.72,0.18,4.43,9.60221E-06,1.72E-05
USA300HOU_1181,SACOL1267,topA,dprA topA,MgrA,DNA topoisomerase A,10711.16,13.39,0.78,1.71,0.16,4.94,7.61767E-07,1.46E-06
USA300HOU_2271,SACOL2282,ureC,ureABCEFGD,GraRS,urease alpha subunit,139.83,7.13,0.77,1.71,0.25,3.14,0.001708479,2.59E-03
USA300HOU_0378,SACOL0429,metF,metEFCI,MgrA, methylenetetrahydrofolate reductase/homocysteine S-methyltransferase,1064.37,10.06,0.77,1.71,0.14,5.33,9.90076E-08,2.00E-07
USA300HOU_1820,SACOL1883,USA300HOU_1820,SACOL1882 SACOL1883,-,hypothetical protein,1088.00,10.09,0.77,1.71,0.18,4.30,1.70893E-05,3.02E-05
USA300HOU_1520,SACOL1563,lpdA,bfmBB bfmAB bfmAA lpdA,GraRS,dihydrolipoyl dehydrogenase,7576.59,12.89,0.77,1.70,0.14,5.62,1.91836E-08,3.99E-08
USA300HOU_2473,SACOL2493,USA300HOU_2473,SACOL2493,-,hypothetical protein,317.20,8.31,0.77,1.70,0.23,3.40,0.000662899,1.04E-03
USA300HOU_0547,SACOL0600,ilvE,ilvE SACOL0601,CodY,branched-chain amino acid aminotransferase,5565.97,12.44,0.77,1.70,0.14,5.33,1.00529E-07,2.03E-07
USA300HOU_0959,SACOL1006,yjbM,yjbM hbo,GraRS,hypothetical protein,1299.48,10.34,0.77,1.70,0.17,4.38,1.18116E-05,2.10E-05
USA300HOU_2576,SACOL2598,cobW_3,SACOL2600 feoB_3 cobW_3,Zur,cobalamin (vitamin B12) biosynthesis protein,339.18,8.41,0.76,1.70,0.19,3.99,6.68914E-05,1.13E-04
USA300HOU_0471,SACOL0513,gltC,gltC,-,transcriptional regulatory protein GltC,109.03,6.77,0.76,1.70,0.27,2.87,0.004070992,5.99E-03
USA300HOU_2535,SACOL2556,USA300HOU_2535,SACOL2556,SarA,hypothetical protein,37863.80,15.21,0.76,1.70,0.21,3.57,0.000353351,5.62E-04
USA300HOU_2183,SACOL2181,lacE,lacGEFDCBA SACOL2187,MgrA,"PTS lactose-N,N-diacetylchitobiose-beta-glucoside (lac) porter component IIBC",69.29,6.11,0.76,1.69,0.34,2.21,0.027401021,3.69E-02
USA300HOU_2694,SACOL2716,padR,SACOL2715 padR,-,hypothetical protein,232.52,7.86,0.75,1.68,0.23,3.30,0.000974039,1.51E-03
USA300HOU_1519,SACOL1562,bfmBAA,bfmBB bfmAB bfmAA lpdA,GraRS,pyruvate dehydrogenase (acetyl-transferring) alpha subunit,6664.01,12.70,0.75,1.68,0.14,5.38,7.47109E-08,1.52E-07
USA300HOU_1431,-,lukS-PV,-,-,"Panton-Valentine leukocidin, LukS-PV",273.85,8.10,0.75,1.68,0.20,3.78,0.000158538,2.60E-04
USA300HOU_2551,SACOL2571,USA300HOU_2551,SACOL2571,VraSR,hypothetical protein,189.44,7.57,0.75,1.68,0.26,2.89,0.003808594,5.62E-03
USA300HOU_0664,-,USA300HOU_0664,-,-,hypothetical protein,185.89,7.54,0.74,1.67,0.24,3.13,0.001751332,2.65E-03
USA300HOU_1203,SACOL1290,truB,rbfA truB ribC,SigB,pseudouridylate synthase,1191.22,10.22,0.73,1.66,0.14,5.09,3.50973E-07,6.85E-07
USA300HOU_1925,SACOL1985,ykgB,ykgB,-,"3-carboxy-cis,cis-muconate lactonizing enzyme",2224.10,11.12,0.73,1.66,0.14,5.21,1.88089E-07,3.75E-07
USA300HOU_0679,SACOL0715,graX,graXRS,GraRS,hypothetical protein,1328.82,10.38,0.73,1.66,0.14,5.08,3.80258E-07,7.40E-07
USA300HOU_2182,SACOL2180,lacG,lacGEFDCBA SACOL2187,MgrA,6-phospho-beta-galactosidase,165.73,7.37,0.73,1.66,0.22,3.30,0.000963399,1.49E-03
USA300HOU_0618,SACOL0668,USA300HOU_0618,btuF fecD SACOL0667 SACOL0668 SACOL0669 SACOL0670,-,alpha/beta fold family hydrolase,1187.79,10.21,0.73,1.66,0.17,4.23,2.29639E-05,4.00E-05
USA300HOU_1882,SACOL1944,vraT,vraRSTU,VraSR,hypothetical membrane protein,1132.67,10.15,0.73,1.66,0.15,4.81,1.47801E-06,2.79E-06
USA300HOU_1330,SACOL1430,dapA,lysC asd dapA dapB dapD,CodY,dihydrodipicolinate synthase,1364.97,10.41,0.72,1.65,0.15,4.90,9.4487E-07,1.80E-06
USA300HOU_2507,SACOL2528,USA300HOU_2507,SACOL2528,CcpA,hypothetical protein,1412.87,10.46,0.72,1.64,0.14,5.09,3.57017E-07,6.96E-07
USA300HOU_0371,SACOL0421,USA300HOU_0371,SACOL0420 SACOL0421 SACOL0422 SACOL0424,-,hypothetical protein,498.06,8.96,0.71,1.64,0.19,3.73,0.000190801,3.10E-04
USA300HOU_1273,SACOL1362,hom,hom thrC thrB,CodY,homoserine dehydrogenase,1896.12,10.89,0.70,1.63,0.13,5.34,9.2025E-08,1.86E-07
USA300HOU_2158,SACOL2157,lmrS,lmrS,-,EmrB/QacA family drug resistance transporter,2015.39,10.98,0.70,1.63,0.15,4.69,2.74207E-06,5.11E-06
USA300HOU_0748,SACOL0785,USA300HOU_0748,SACOL0785,-,hypothetical protein,1431.32,10.48,0.70,1.63,0.15,4.75,2.01237E-06,3.77E-06
USA300HOU_0053,-,USA300HOU_0053,-,-,hypothetical protein,172.93,7.43,0.70,1.63,0.24,2.95,0.003151823,4.68E-03
USA300HOU_1690,SACOL1751,USA300HOU_1690,dnaE SACOL1751,-,hypothetical protein,3153.54,11.62,0.70,1.62,0.14,4.89,1.00219E-06,1.90E-06
USA300HOU_2048,SACOL2042,ilvD,ilvDBNC-leuABCD-ilvA2,CodY,dihydroxy-acid dehydratase,1007.16,9.98,0.70,1.62,0.15,4.60,4.25361E-06,7.86E-06
USA300HOU_1131,SACOL1207,gloA2,gloA2,AgrA,glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein,1543.67,10.59,0.69,1.62,0.15,4.59,4.44652E-06,8.20E-06
USA300HOU_1518,SACOL1561,bfmBAB,bfmBB bfmAB bfmAA lpdA,GraRS,2-oxoisovalerate dehydrogenase (acylating) beta subunit,6536.72,12.67,0.69,1.62,0.14,4.78,1.72623E-06,3.24E-06
USA300HOU_1183,SACOL1269,xerC,xerC hslV hslU codY,GraRS,tyrosine recombinase XerC,4099.26,12.00,0.69,1.62,0.14,5.11,3.29921E-07,6.45E-07
USA300HOU_1861,SACOL1924,msbA,msbA,-,Lipid A export ATP-binding/permease MsbA,2675.52,11.39,0.69,1.62,0.16,4.24,2.20015E-05,3.84E-05
USA300HOU_0377,SACOL0428,metE,metEFCI,MgrA,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,2402.02,11.23,0.69,1.61,0.13,5.27,1.3876E-07,2.78E-07
USA300HOU_0632,SACOL1580,USA300HOU_0632,SACOL1580,-,hypothetical protein,92.79,6.54,0.69,1.61,0.31,2.20,0.027592999,3.71E-02
USA300HOU_1691,SACOL1752,USA300HOU_1691,SACOL1752,-,hypothetical protein,3512.75,11.78,0.69,1.61,0.14,4.84,1.2915E-06,2.44E-06
USA300HOU_0478,SACOL0521,USA300HOU_0478,SACOL0521 recR,-,hypothetical protein,5130.92,12.33,0.68,1.61,0.15,4.48,7.48962E-06,1.35E-05
USA300HOU_2135,SACOL2138,czrB,czrAB,CzrA,CDF family cation diffusion facilitator CzrB,5637.26,12.46,0.68,1.61,0.17,3.98,6.86972E-05,1.16E-04
USA300HOU_1182,SACOL1268,gid,gid,-,tRNA (uracil-5-)-methyltransferase Gid,8122.96,12.99,0.68,1.60,0.15,4.50,6.91562E-06,1.26E-05
USA300HOU_1049,SACOL1120,USA300HOU_1049,SACOL1119 SACOL1120,-,hypothetical protein,1618.02,10.66,0.68,1.60,0.17,3.98,6.77436E-05,1.15E-04
USA300HOU_1048,SACOL1119,USA300HOU_1048,SACOL1119 SACOL1120,-,hypothetical protein,697.13,9.45,0.67,1.60,0.17,4.08,4.42935E-05,7.60E-05
USA300HOU_1833,SACOL1897,prsA,prsA,VraSR,peptidylprolyl isomerase,4019.10,11.97,0.67,1.60,0.15,4.44,9.13503E-06,1.64E-05
USA300HOU_0799,SACOL0835,USA300HOU_0799,-,SigB,hypothetical protein,1801.39,10.81,0.67,1.59,0.17,3.99,6.72006E-05,1.14E-04
USA300HOU_0897,SACOL0939,nfu,nfu,-,NifU domain-containing protein,2681.49,11.39,0.66,1.58,0.16,4.17,3.11287E-05,5.38E-05
USA300HOU_1222,SACOL1309,porB,porA porB,Rot,2-oxoglutarate ferredoxin oxidoreductase subunit beta,2520.49,11.30,0.66,1.58,0.14,4.63,3.66026E-06,6.77E-06
USA300HOU_0546,SACOL0599,capD,capD,CcpA,NAD dependent epimerase/dehydratase family protein,9645.48,13.24,0.66,1.58,0.24,2.78,0.005479753,7.95E-03
USA300HOU_0661,SACOL0698,tagD,tagD,-,glycerol-3-phosphate cytidylyltransferase,922.13,9.85,0.66,1.58,0.17,3.88,0.000105308,1.75E-04
USA300HOU_0659,SACOL0696,tagB,tagG tagB tagX,SarA,teichoic acid biosynthesis protein B,1290.11,10.33,0.65,1.57,0.15,4.49,6.98706E-06,1.27E-05
USA300HOU_2712,SACOL2735,noc,noc gidB gidA trmE,-,ParB family chromosome partioning protein,4206.24,12.04,0.65,1.57,0.15,4.49,7.06992E-06,1.28E-05
USA300HOU_1723,SACOL1784,acuA,acuA acuC,CcpA,acetoin utilization protein AcuA,392.19,8.62,0.65,1.57,0.26,2.48,0.013147848,1.84E-02
USA300HOU_1933,SACOL1993,pmtD,ytrA pmtABCD,YtrA,hypothetical membrane protein,1019.45,9.99,0.65,1.57,0.18,3.70,0.000218474,3.53E-04
USA300HOU_1626,SACOL1683,USA300HOU_1626,SACOL1683,-,hypothetical protein,3628.70,11.83,0.65,1.56,0.14,4.67,2.94981E-06,5.48E-06
USA300HOU_0267,SACOL0241,tarJ,tarIJLS,Rot,"alcohol dehydrogenase, zinc-containing",4606.66,12.17,0.64,1.56,0.14,4.45,8.41021E-06,1.51E-05
USA300HOU_1915,SACOL1975,pncB,nadE pncB,-,nicotinate phosphoribosyltransferase,1288.71,10.33,0.63,1.55,0.18,3.56,0.000374769,5.96E-04
USA300HOU_0297,SACOL0271,esxA,esxA,GraRS,ESAT-6 family virulence protein,7459.51,12.86,0.63,1.55,0.17,3.67,0.000246123,3.97E-04
USA300HOU_0732,SACOL0769,USA300HOU_0732,SACOL0769,-,hypothetical protein,1250.19,10.29,0.62,1.54,0.15,4.09,4.2362E-05,7.29E-05
USA300HOU_0885,SACOL0927,lipA,lipA,-,lipoyl synthase,9588.44,13.23,0.62,1.54,0.13,4.70,2.62808E-06,4.90E-06
USA300HOU_0870,SACOL0914,sufC,sufCDSUB,PerR,FeS assembly ATPase SufC,10942.08,13.42,0.62,1.54,0.12,4.97,6.64687E-07,1.28E-06
USA300HOU_2691,SACOL2713,USA300HOU_2691,SACOL2713,-,hypothetical protein,1129.29,10.14,0.62,1.54,0.15,4.01,6.02599E-05,1.02E-04
USA300HOU_0385,SACOL0436,USA300HOU_0385,SACOL0436,-,hypothetical protein,491.08,8.94,0.62,1.53,0.22,2.77,0.005521371,8.01E-03
USA300HOU_1085,SACOL1160,sdhB,sdhC sdhA sdhB,CcpA,succinate dehydrogenase iron-sulfur subunit,13956.62,13.77,0.61,1.53,0.20,3.07,0.00216604,3.26E-03
USA300HOU_1292,SACOL1394,USA300HOU_1292,glcT SACOL1394 yrrI,-,hypothetical protein,567.35,9.15,0.61,1.53,0.16,3.72,0.000202442,3.28E-04
USA300HOU_0479,SACOL0522,recR,SACOL0521 recR,-,recombination protein RecR,6518.48,12.67,0.61,1.52,0.15,3.95,7.88647E-05,1.32E-04
USA300HOU_1895,SACOL1956,USA300HOU_1895,SACOL1956,-,hypothetical protein,487.85,8.93,-0.60,0.66,0.20,-3.06,0.00220669,3.32E-03
USA300HOU_0767,SACOL0803,USA300HOU_0767,SACOL0803,-,hypothetical protein,570.59,9.16,-0.60,0.66,0.18,-3.43,0.000601853,9.46E-04
USA300HOU_1647,SACOL1703,mreD,mreD mreC,-,rod shape-determining protein MreD,1100.14,10.10,-0.60,0.66,0.15,-4.01,6.09569E-05,1.04E-04
USA300HOU_0277,SACOL0251,bglA,ptbA bglA,-,6-phospho-beta-glucosidase,187.85,7.55,-0.61,0.66,0.26,-2.37,0.017745346,2.44E-02
USA300HOU_1750,SACOL1809,USA300HOU_1750,SACOL1809,-,drug transporter,2082.93,11.02,-0.61,0.66,0.14,-4.23,2.33504E-05,4.06E-05
USA300HOU_0316,SACOL0290,USA300HOU_0316,SACOL0290,-,hypothetical protein,113.81,6.83,-0.61,0.66,0.26,-2.33,0.019949234,2.73E-02
USA300HOU_0602,SACOL0652,USA300HOU_0602,SACOL0652,-,hypothetical protein,160.42,7.33,-0.61,0.66,0.27,-2.26,0.023716411,3.22E-02
USA300HOU_2299,SACOL2309,proY,proY,-,APC family amino acid-polyamine-organocation transporter,6166.94,12.59,-0.61,0.65,0.14,-4.25,2.0972E-05,3.67E-05
USA300HOU_0529,SACOL0581,secE,secE nusG rplK rplA rplJ rplL rsmC,-,preprotein translocase subunit SecE,2279.26,11.15,-0.61,0.65,0.15,-4.15,3.26332E-05,5.64E-05
USA300HOU_2716,SACOL2739,rnpA,rnpA rpmH,-,ribonuclease P,469.47,8.87,-0.61,0.65,0.19,-3.22,0.001279937,1.96E-03
USA300HOU_0972,SACOL1019,fes,fes,-,Enterochelin esterase-like enzyme,435.93,8.77,-0.62,0.65,0.19,-3.33,0.000882696,1.37E-03
USA300HOU_1765,SACOL1825,USA300HOU_1765,SACOL1825,-,N-acetylmuramoyl-L-alanine amidase,4784.82,12.22,-0.62,0.65,0.14,-4.33,1.47811E-05,2.62E-05
USA300HOU_2312,SACOL2325,hutR,hutR,-,LysR family transcriptional regulator,151.44,7.24,-0.62,0.65,0.29,-2.10,0.035785615,4.73E-02
USA300HOU_0675,SACOL0711,USA300HOU_0675,SACOL0711,-,hypothetical protein,5695.94,12.48,-0.62,0.65,0.14,-4.47,7.90861E-06,1.42E-05
USA300HOU_1030,SACOL1096,ktrA,-,-,TrkA potassium uptake family protein,1316.61,10.36,-0.62,0.65,0.16,-3.94,8.25214E-05,1.38E-04
USA300HOU_0469,SACOL0511,USA300HOU_0469,SACOL0511 SACOL0512,GraRS,hypothetical protein,576.48,9.17,-0.62,0.65,0.18,-3.41,0.000645781,1.01E-03
USA300HOU_2006,-,USA300HOU_2006,-,-,hypothetical protein,199.74,7.64,-0.63,0.65,0.25,-2.49,0.012602566,1.77E-02
USA300HOU_2418,SACOL2435,glxK,glxK SACOL2436,VraSR,glycerate kinase,1243.11,10.28,-0.63,0.65,0.15,-4.08,4.52972E-05,7.77E-05
USA300HOU_2584,SACOL2607,USA300HOU_2584,SACOL2607,-,hypothetical protein,885.26,9.79,-0.63,0.65,0.17,-3.66,0.000255458,4.11E-04
USA300HOU_1127,SACOL1203,ylmG,SACOL1200 ylmE sepF/ylmF ylmG ylmH SACOL1205,-,hypothetical protein,3039.94,11.57,-0.63,0.65,0.16,-4.02,5.8186E-05,9.91E-05
USA300HOU_1741,SACOL1800,dat,dat pepV,-,D-alanine aminotransferase,3535.62,11.79,-0.64,0.64,0.14,-4.71,2.51791E-06,4.70E-06
USA300HOU_1164,SACOL1242,fapR,fapR plsX fabDG,FapR,hypothetical protein,3817.60,11.90,-0.64,0.64,0.14,-4.53,5.89299E-06,1.08E-05
USA300HOU_2079,SACOL2075,ftsW,ftsW,-,FtsW/RodA/SpoVE family cell division protein,2309.62,11.17,-0.64,0.64,0.14,-4.57,4.93399E-06,9.07E-06
USA300HOU_2325,SACOL2339,mag,mag,-,putative 3-methyladenine DNA glycosylase,147.71,7.21,-0.64,0.64,0.24,-2.65,0.008053937,1.14E-02
USA300HOU_0367,SACOL0417,tatC,tatAC,Fur,Tat family twin arginine targeting transporter TatC,605.22,9.24,-0.65,0.64,0.19,-3.40,0.000669087,1.05E-03
